Participant;Q1Attention;Q2Attention;Q3Attention;Q4Relevance;Q5Relevance;Q6Relevance;Q7Confidence;Q8Confidence;Q9Confidence;Q10Satisfaction;Q11Satisfaction;Q12Satisfaction;Attention_Mean;Relevance_Mean;Confidence_Mean;Satisfaction_Mean
1;4;4;4;3;5;3;4;3;3;5;5;5;4;3,67;3,33;5
2;5;5;4;5;5;5;5;4;5;5;5;5;4,67;5;4,67;5
3;5;4;4;5;3;4;4;5;2;5;5;5;4,33;4;3,67;5
4;2;4;2;4;3;4;3;2;4;4;4;5;2,67;3,67;3;4,33
5;5;5;4;5;5;4;5;4;5;5;5;5;4,67;4,67;4,67;5
6;4;4;5;5;5;4;5;4;4;5;5;5;4,33;4,67;4,33;5
7;2;2;4;2;2;1;2;3;4;2;1;2;2,67;1,67;3;1,67
8;3;3;5;4;4;3;4;5;3;4;5;5;3,67;3,67;4;4,67
9;4;3;4;4;4;2;4;4;4;3;4;5;3,67;3,33;4;4
10;5;5;5;5;5;4;5;5;5;5;5;5;5;4,67;5;5
11;5;5;5;5;5;4;4;5;5;5;5;5;5;4,67;4,67;5
